Net,li1,met1,met2,met3,met4,met5,
net7151,100.00%,100.00%,97.13%,NA,NA,NA,
net7150,100.00%,100.00%,100.00%,NA,NA,NA,
net7098,100.00%,100.00%,0.00%,NA,NA,NA,
net7096,100.00%,100.00%,100.00%,NA,NA,NA,
net7097,100.00%,100.00%,100.00%,NA,NA,NA,
net7149,100.00%,100.00%,100.00%,NA,NA,NA,
net7124,93.75%,97.99%,75.98%,NA,NA,NA,
net7099,100.00%,100.00%,100.00%,NA,NA,NA,
net7100,100.00%,100.00%,100.00%,NA,NA,NA,
net7134,100.00%,93.05%,84.49%,0.00%,NA,NA,
net7133,100.00%,100.00%,94.82%,0.00%,NA,NA,
net7101,100.00%,100.00%,100.00%,NA,NA,NA,
net7111,100.00%,97.94%,89.19%,NA,NA,NA,
net7102,100.00%,100.00%,100.00%,NA,NA,NA,
net7103,100.00%,100.00%,100.00%,NA,NA,NA,
net7106,100.00%,100.00%,100.00%,96.66%,NA,NA,
net7105,100.00%,100.00%,100.00%,NA,NA,NA,
net7104,100.00%,100.00%,0.00%,NA,NA,NA,
net7148,100.00%,100.00%,100.00%,NA,NA,NA,
net7147,100.00%,100.00%,94.57%,NA,NA,NA,
net7146,100.00%,100.00%,96.88%,NA,NA,NA,
net7145,100.00%,100.00%,100.00%,0.00%,NA,NA,
net7142,100.00%,98.29%,98.65%,NA,NA,NA,
net7141,100.00%,100.00%,93.81%,NA,NA,NA,
net7108,100.00%,100.00%,100.00%,NA,NA,NA,
net8382,100.00%,97.80%,71.49%,NA,NA,NA,
net8381,100.00%,97.49%,77.86%,0.00%,NA,NA,
net7112,100.00%,100.00%,94.15%,NA,NA,NA,
net7113,100.00%,74.96%,82.35%,NA,NA,NA,
net7114,90.91%,99.95%,97.83%,NA,NA,NA,
net7115,100.00%,88.64%,97.07%,NA,NA,NA,
net7116,100.00%,95.35%,65.48%,0.00%,NA,NA,
net7117,88.89%,98.54%,86.51%,NA,NA,NA,
net7118,100.00%,95.21%,83.46%,0.00%,NA,NA,
net7119,100.00%,100.00%,93.90%,NA,NA,NA,
net7120,100.00%,100.00%,100.00%,NA,NA,NA,
net7136,100.00%,90.39%,69.93%,0.00%,NA,NA,
net7122,100.00%,72.22%,65.79%,0.00%,NA,NA,
net7123,100.00%,94.83%,77.36%,0.00%,NA,NA,
net7125,100.00%,89.91%,70.45%,0.00%,NA,NA,
net7126,100.00%,100.00%,65.55%,0.00%,NA,NA,
net7127,100.00%,90.29%,93.34%,NA,NA,NA,
net7128,100.00%,97.53%,88.03%,NA,NA,NA,
net7135,94.54%,85.30%,43.48%,NA,NA,NA,
net7129,100.00%,94.84%,78.63%,NA,NA,NA,
net7130,100.00%,83.99%,71.34%,0.00%,NA,NA,
net7131,100.00%,95.90%,71.88%,NA,NA,NA,
net7132,100.00%,83.67%,33.36%,NA,NA,NA,
net7138,100.00%,62.73%,72.43%,NA,NA,NA,
net7139,100.00%,99.98%,93.40%,NA,NA,NA,
net7140,99.02%,78.47%,75.44%,NA,NA,NA,
net7143,100.00%,91.17%,88.66%,0.00%,NA,NA,
net7144,100.00%,87.70%,100.00%,100.00%,NA,NA,
net8379,100.00%,91.63%,54.83%,NA,NA,NA,
net7159,100.00%,100.00%,76.82%,0.00%,NA,NA,
net7160,81.82%,93.59%,100.00%,NA,NA,NA,
net8380,100.00%,98.57%,89.46%,NA,NA,NA,
net8378,100.00%,83.51%,59.32%,NA,NA,NA,
net7163,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7165,88.89%,82.45%,98.78%,0.00%,NA,NA,
net8376,100.00%,99.05%,97.29%,NA,NA,NA,
net8375,100.00%,93.60%,81.70%,95.40%,NA,NA,
net7167,100.00%,99.81%,99.92%,99.47%,100.00%,NA,
net7168,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net8374,100.00%,100.00%,96.01%,0.00%,NA,NA,
net8373,100.00%,97.63%,78.16%,NA,NA,NA,
net7170,87.50%,94.94%,97.36%,NA,NA,NA,
net7171,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net8368,100.00%,94.18%,67.44%,NA,NA,NA,
net7173,100.00%,100.00%,100.00%,NA,NA,NA,
net7183,95.10%,100.00%,92.69%,NA,NA,NA,
net7184,97.71%,98.77%,78.53%,NA,NA,NA,
net7185,100.00%,100.00%,100.00%,76.67%,NA,NA,
net7172,100.00%,100.00%,100.00%,NA,NA,NA,
net8372,100.00%,86.48%,88.22%,0.00%,NA,NA,
net8371,100.00%,100.00%,91.71%,NA,NA,NA,
net8370,100.00%,100.00%,100.00%,NA,NA,NA,
net8369,100.00%,99.39%,94.50%,NA,NA,NA,
net7174,85.71%,95.70%,99.97%,100.00%,NA,NA,
net7175,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7177,100.00%,100.00%,0.00%,NA,NA,NA,
net7221,100.00%,97.08%,80.55%,NA,NA,NA,
net7182,100.00%,88.56%,73.31%,NA,NA,NA,
net8367,100.00%,98.38%,94.17%,NA,NA,NA,
net7853,100.00%,96.80%,92.72%,97.50%,100.00%,NA,
net7176,100.00%,99.40%,98.76%,NA,NA,NA,
net7180,100.00%,100.00%,100.00%,NA,NA,NA,
net7178,100.00%,69.91%,98.88%,100.00%,NA,NA,
net7179,100.00%,100.00%,94.70%,NA,NA,NA,
net7852,89.71%,99.76%,61.73%,0.00%,NA,NA,
net7850,100.00%,99.44%,88.04%,0.00%,0.00%,NA,
net7851,100.00%,97.67%,93.90%,97.65%,0.00%,NA,
net7218,100.00%,100.00%,0.00%,NA,NA,NA,
net7181,85.71%,94.73%,80.95%,NA,NA,NA,
net7186,100.00%,70.36%,94.96%,NA,NA,NA,
net7196,100.00%,100.00%,100.00%,NA,NA,NA,
net7199,100.00%,100.00%,78.04%,NA,NA,NA,
net7212,100.00%,92.42%,100.00%,0.00%,NA,NA,
net7200,100.00%,100.00%,76.60%,NA,NA,NA,
net7209,100.00%,64.55%,92.00%,NA,NA,NA,
net7204,100.00%,100.00%,100.00%,NA,NA,NA,
net7215,100.00%,100.00%,100.00%,NA,NA,NA,
net7217,100.00%,100.00%,77.45%,100.00%,NA,NA,
net7219,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7216,100.00%,100.00%,100.00%,NA,NA,NA,
net7222,100.00%,100.00%,100.00%,NA,NA,NA,
net7849,99.68%,99.28%,51.38%,0.00%,NA,NA,
net7223,100.00%,100.00%,0.00%,NA,NA,NA,
net7846,100.00%,98.41%,91.47%,0.00%,NA,NA,
net7228,100.00%,100.00%,100.00%,NA,NA,NA,
net7491,100.00%,82.53%,99.68%,97.69%,94.81%,NA,
net7489,100.00%,100.00%,93.00%,99.82%,97.14%,100.00%,
net7488,100.00%,100.00%,85.18%,0.00%,NA,NA,
net7490,100.00%,100.00%,100.00%,NA,NA,NA,
net7663,100.00%,100.00%,62.87%,0.00%,NA,NA,
net7664,77.45%,98.13%,39.22%,NA,NA,NA,
net7230,100.00%,86.38%,63.04%,0.00%,NA,NA,
net7403,100.00%,90.33%,53.38%,0.00%,NA,NA,
net7397,100.00%,100.00%,100.00%,NA,NA,NA,
net7231,100.00%,100.00%,83.43%,0.00%,NA,NA,
net7487,100.00%,100.00%,100.00%,NA,NA,NA,
net7232,100.00%,85.77%,94.48%,0.00%,NA,NA,
net7395,100.00%,83.60%,53.44%,0.00%,NA,NA,
net7235,100.00%,70.33%,89.11%,0.00%,NA,NA,
net7396,100.00%,100.00%,48.91%,NA,NA,NA,
net7237,100.00%,100.00%,97.98%,0.00%,NA,NA,
net7238,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7239,100.00%,100.00%,92.17%,NA,NA,NA,
net7394,100.00%,100.00%,100.00%,NA,NA,NA,
net7242,100.00%,100.00%,93.09%,99.91%,100.00%,NA,
net7243,100.00%,100.00%,90.11%,100.00%,100.00%,NA,
net7254,100.00%,100.00%,77.79%,98.95%,100.00%,NA,
net7245,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7246,100.00%,100.00%,100.00%,NA,NA,NA,
net7252,100.00%,100.00%,47.80%,100.00%,NA,NA,
net7251,100.00%,100.00%,87.18%,100.00%,NA,NA,
net7249,100.00%,100.00%,100.00%,0.00%,NA,NA,
net7250,100.00%,100.00%,37.29%,NA,NA,NA,
net7255,100.00%,100.00%,63.10%,10.73%,100.00%,NA,
net7257,100.00%,100.00%,96.87%,NA,NA,NA,
net7399,100.00%,99.35%,65.69%,0.00%,NA,NA,
net7259,77.21%,97.30%,100.00%,NA,NA,NA,
net7262,100.00%,100.00%,99.92%,99.84%,95.02%,0.00%,
net7263,75.00%,100.00%,100.00%,100.00%,NA,NA,
net7389,100.00%,100.00%,80.00%,100.00%,100.00%,NA,
net7265,100.00%,100.00%,96.75%,0.00%,NA,NA,
net7267,100.00%,95.12%,99.15%,99.81%,100.00%,NA,
net7332,100.00%,79.53%,91.57%,100.00%,NA,NA,
net7269,80.00%,100.00%,99.38%,100.00%,100.00%,NA,
net7270,100.00%,100.00%,99.18%,99.95%,33.93%,100.00%,
net7271,100.00%,100.00%,100.00%,NA,NA,NA,
net7273,100.00%,100.00%,99.34%,98.38%,100.00%,NA,
net7333,100.00%,100.00%,90.33%,99.18%,100.00%,NA,
net7274,100.00%,47.89%,75.86%,100.00%,NA,NA,
net7325,80.00%,78.24%,78.13%,NA,NA,NA,
net7329,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7298,100.00%,91.73%,94.09%,0.00%,NA,NA,
net7278,100.00%,100.00%,100.00%,99.96%,100.00%,NA,
net7279,100.00%,100.00%,95.13%,100.00%,NA,NA,
net7280,100.00%,100.00%,95.05%,100.00%,NA,NA,
net7316,100.00%,100.00%,90.78%,100.00%,100.00%,NA,
net7315,100.00%,99.43%,96.95%,91.94%,100.00%,NA,
net7429,100.00%,99.71%,72.40%,0.00%,NA,NA,
net7290,95.88%,99.80%,72.78%,0.00%,NA,NA,
net7287,93.33%,93.63%,50.18%,0.00%,NA,NA,
net7289,100.00%,100.00%,100.00%,NA,NA,NA,
net7306,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7308,100.00%,100.00%,95.83%,31.63%,100.00%,NA,
net7296,100.00%,100.00%,93.83%,NA,NA,NA,
net7300,100.00%,99.91%,95.77%,98.02%,NA,NA,
net7299,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7301,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7305,100.00%,100.00%,93.85%,98.93%,100.00%,NA,
net7309,100.00%,75.31%,76.16%,100.00%,63.25%,NA,
net7311,100.00%,100.00%,100.00%,99.23%,83.41%,NA,
net7423,100.00%,91.84%,84.44%,NA,NA,NA,
net7313,100.00%,100.00%,92.25%,100.00%,100.00%,NA,
net7317,100.00%,100.00%,100.00%,NA,NA,NA,
net7319,100.00%,100.00%,63.88%,NA,NA,NA,
net7334,100.00%,100.00%,100.00%,68.89%,NA,NA,
net7337,94.85%,70.86%,47.92%,100.00%,NA,NA,
net7340,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7343,100.00%,95.16%,96.62%,98.19%,100.00%,NA,
net7412,96.57%,98.48%,99.68%,NA,NA,NA,
net7392,100.00%,100.00%,100.00%,NA,NA,NA,
net7345,100.00%,99.86%,86.86%,88.07%,66.18%,NA,
net7347,100.00%,100.00%,99.62%,99.06%,55.12%,99.78%,
net7375,94.74%,84.49%,67.17%,NA,NA,NA,
net7380,100.00%,96.87%,80.64%,NA,NA,NA,
net7376,100.00%,90.69%,70.12%,64.50%,0.00%,NA,
net7369,100.00%,97.04%,91.48%,25.71%,100.00%,NA,
net7353,100.00%,100.00%,100.00%,NA,NA,NA,
net7355,100.00%,67.84%,96.72%,95.52%,100.00%,NA,
net7360,100.00%,32.31%,92.58%,97.07%,NA,NA,
net7368,100.00%,100.00%,87.02%,100.00%,100.00%,NA,
net7362,100.00%,99.85%,100.00%,NA,NA,NA,
net7367,100.00%,100.00%,44.16%,NA,NA,NA,
net7372,100.00%,51.13%,97.13%,100.00%,NA,NA,
net7374,100.00%,89.58%,70.55%,0.00%,0.00%,NA,
net7373,100.00%,93.82%,51.77%,100.00%,100.00%,NA,
net7377,100.00%,100.00%,100.00%,99.05%,92.39%,100.00%,
net7382,100.00%,95.91%,85.68%,NA,NA,NA,
net7381,93.33%,89.80%,65.33%,0.00%,NA,NA,
net7385,100.00%,100.00%,0.00%,NA,NA,NA,
net7388,100.00%,98.51%,96.45%,49.56%,NA,NA,
net7393,100.00%,100.00%,59.73%,99.68%,100.00%,NA,
net7387,94.61%,97.18%,93.58%,NA,NA,NA,
net7390,100.00%,100.00%,0.00%,NA,NA,NA,
net7391,100.00%,100.00%,NA,NA,NA,NA,
net7401,96.15%,80.87%,59.06%,0.00%,NA,NA,
net7400,100.00%,80.99%,89.53%,0.00%,NA,NA,
net7398,87.50%,98.73%,90.99%,100.00%,NA,NA,
net7402,100.00%,95.22%,84.35%,NA,NA,NA,
net7408,100.00%,65.46%,53.81%,0.00%,NA,NA,
net7405,100.00%,100.00%,80.61%,NA,NA,NA,
net7411,100.00%,100.00%,100.00%,NA,NA,NA,
net7406,100.00%,83.28%,61.54%,0.00%,NA,NA,
net7407,100.00%,92.20%,66.42%,NA,NA,NA,
net7409,98.28%,74.46%,86.75%,36.90%,100.00%,NA,
net7583,100.00%,93.58%,94.34%,0.00%,NA,NA,
net7410,100.00%,100.00%,100.00%,NA,NA,NA,
net7413,100.00%,88.28%,51.81%,0.00%,NA,NA,
net7486,100.00%,100.00%,93.88%,92.97%,NA,NA,
net7415,100.00%,100.00%,100.00%,99.23%,100.00%,NA,
net7479,91.67%,94.59%,71.15%,NA,NA,NA,
net7419,83.33%,85.08%,84.67%,NA,NA,NA,
net7416,85.71%,97.85%,100.00%,NA,NA,NA,
net7417,100.00%,100.00%,100.00%,NA,NA,NA,
net7418,100.00%,87.08%,82.04%,NA,NA,NA,
net7471,95.24%,99.57%,94.73%,NA,NA,NA,
net7469,100.00%,96.98%,83.40%,NA,NA,NA,
net7421,100.00%,99.88%,80.78%,NA,NA,NA,
net7422,100.00%,100.00%,100.00%,0.00%,0.00%,NA,
net7457,100.00%,100.00%,100.00%,NA,NA,NA,
net7425,85.71%,91.90%,91.52%,NA,NA,NA,
net7426,100.00%,100.00%,96.10%,0.00%,NA,NA,
net7427,100.00%,100.00%,86.14%,0.00%,NA,NA,
net7456,100.00%,100.00%,100.00%,NA,NA,NA,
net7458,89.71%,88.27%,64.34%,NA,NA,NA,
net7428,87.50%,73.70%,96.71%,0.00%,NA,NA,
net7454,100.00%,100.00%,65.65%,NA,NA,NA,
net7447,98.71%,81.71%,68.18%,0.00%,0.00%,NA,
net7437,100.00%,100.00%,100.00%,NA,NA,NA,
net7431,96.57%,93.95%,88.75%,NA,NA,NA,
net7432,93.14%,78.57%,96.86%,NA,NA,NA,
net7435,100.00%,100.00%,86.30%,NA,NA,NA,
net7442,100.00%,89.39%,79.12%,NA,NA,NA,
net7434,95.38%,99.48%,100.00%,87.50%,100.00%,NA,
net7436,100.00%,100.00%,46.54%,NA,NA,NA,
net7438,100.00%,92.72%,96.85%,0.00%,NA,NA,
net7440,92.31%,89.46%,78.99%,NA,NA,NA,
net7439,100.00%,98.31%,77.74%,70.50%,78.28%,NA,
net7441,100.00%,85.76%,66.91%,NA,NA,NA,
net7443,92.31%,96.09%,82.32%,0.00%,NA,NA,
net7445,75.00%,68.87%,95.15%,0.00%,NA,NA,
net7448,94.12%,85.87%,98.16%,95.65%,NA,NA,
net7446,91.39%,83.14%,91.83%,100.00%,NA,NA,
net7455,100.00%,68.39%,71.52%,NA,NA,NA,
net7449,66.67%,50.13%,79.36%,NA,NA,NA,
net7452,100.00%,100.00%,68.12%,NA,NA,NA,
net7453,100.00%,100.00%,68.06%,NA,NA,NA,
net7462,100.00%,100.00%,100.00%,NA,NA,NA,
net7461,100.00%,91.68%,93.08%,0.00%,NA,NA,
net7464,100.00%,99.04%,65.17%,NA,NA,NA,
net7463,100.00%,100.00%,95.18%,NA,NA,NA,
net7467,100.00%,96.40%,65.00%,0.00%,NA,NA,
net7466,100.00%,95.24%,77.66%,NA,NA,NA,
net7468,100.00%,96.79%,86.28%,NA,NA,NA,
net7470,100.00%,99.07%,88.38%,0.00%,NA,NA,
net7473,96.00%,96.31%,81.43%,0.00%,NA,NA,
net7472,100.00%,93.69%,61.30%,0.00%,NA,NA,
net7474,100.00%,100.00%,100.00%,NA,NA,NA,
net7477,100.00%,69.38%,94.23%,NA,NA,NA,
net7475,97.43%,97.96%,61.12%,NA,NA,NA,
net7476,100.00%,99.16%,50.79%,NA,NA,NA,
net7481,100.00%,100.00%,100.00%,NA,NA,NA,
net7484,100.00%,89.57%,96.19%,NA,NA,NA,
net7689,100.00%,100.00%,74.86%,NA,NA,NA,
net7482,100.00%,100.00%,100.00%,NA,NA,NA,
net7483,100.00%,100.00%,100.00%,0.00%,NA,NA,
net7690,95.22%,100.00%,32.47%,0.00%,NA,NA,
net7485,100.00%,100.00%,92.86%,81.54%,NA,NA,
net7688,100.00%,97.27%,94.21%,0.00%,NA,NA,
net7687,100.00%,91.47%,80.84%,0.00%,NA,NA,
net7662,100.00%,100.00%,100.00%,NA,NA,NA,
net7493,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,
net7494,100.00%,100.00%,70.85%,NA,NA,NA,
net7582,100.00%,100.00%,96.85%,89.88%,100.00%,NA,
net7499,80.00%,93.64%,96.75%,100.00%,100.00%,NA,
net7495,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7497,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7572,93.14%,94.30%,99.95%,NA,NA,NA,
net7666,100.00%,100.00%,NA,NA,NA,NA,
net7500,100.00%,99.95%,95.58%,96.71%,100.00%,NA,
net7661,100.00%,100.00%,88.36%,NA,NA,NA,
net7650,100.00%,80.46%,100.00%,NA,NA,NA,
net7652,100.00%,100.00%,100.00%,NA,NA,NA,
net7642,83.82%,98.92%,100.00%,NA,NA,NA,
net7503,100.00%,100.00%,96.19%,86.85%,100.00%,NA,
net7502,100.00%,81.52%,73.04%,100.00%,100.00%,NA,
net7505,100.00%,99.00%,60.80%,99.94%,73.30%,NA,
net7504,91.91%,98.84%,98.07%,99.64%,50.00%,NA,
net7513,100.00%,100.00%,69.70%,100.00%,100.00%,NA,
net7506,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7507,100.00%,99.97%,95.89%,100.00%,100.00%,NA,
net7633,100.00%,100.00%,75.03%,NA,NA,NA,
net7639,100.00%,100.00%,100.00%,NA,NA,NA,
net7509,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7508,100.00%,100.00%,100.00%,NA,NA,NA,
net7617,75.00%,82.76%,96.36%,NA,NA,NA,
net7618,100.00%,100.00%,99.11%,89.92%,NA,NA,
net7643,100.00%,100.00%,100.00%,NA,NA,NA,
net7640,100.00%,100.00%,91.04%,NA,NA,NA,
net7616,100.00%,100.00%,0.00%,NA,NA,NA,
net7614,100.00%,100.00%,100.00%,NA,NA,NA,
net7512,91.91%,95.83%,99.49%,19.06%,92.68%,NA,
net7613,100.00%,100.00%,100.00%,NA,NA,NA,
net7515,100.00%,100.00%,100.00%,100.00%,99.80%,99.83%,
net7517,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7612,100.00%,100.00%,100.00%,NA,NA,NA,
net7519,100.00%,100.00%,100.00%,99.95%,100.00%,NA,
net7518,100.00%,100.00%,99.47%,NA,NA,NA,
net7521,100.00%,80.26%,97.61%,99.89%,50.00%,NA,
net7611,100.00%,100.00%,0.00%,NA,NA,NA,
net7525,100.00%,92.70%,94.83%,97.71%,95.71%,99.48%,
net7607,100.00%,100.00%,100.00%,NA,NA,NA,
net7608,100.00%,100.00%,100.00%,NA,NA,NA,
net7610,100.00%,100.00%,100.00%,NA,NA,NA,
net7615,100.00%,100.00%,100.00%,NA,NA,NA,
net7609,100.00%,100.00%,100.00%,NA,NA,NA,
net7524,100.00%,100.00%,100.00%,NA,NA,NA,
net7523,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7601,100.00%,100.00%,0.00%,NA,NA,NA,
net7606,100.00%,100.00%,100.00%,NA,NA,NA,
net7603,100.00%,98.32%,64.76%,0.00%,NA,NA,
net7602,100.00%,100.00%,61.82%,NA,NA,NA,
net7649,100.00%,89.74%,78.96%,0.00%,0.00%,NA,
net7564,100.00%,100.00%,100.00%,NA,NA,NA,
net7529,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7598,100.00%,100.00%,100.00%,NA,NA,NA,
net7600,86.47%,98.66%,92.80%,NA,NA,NA,
net7595,75.00%,100.00%,70.97%,NA,NA,NA,
net7596,100.00%,100.00%,23.17%,NA,NA,NA,
net7597,100.00%,100.00%,86.55%,NA,NA,NA,
net7530,100.00%,100.00%,98.00%,100.00%,96.25%,100.00%,
net7671,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7594,100.00%,100.00%,0.00%,NA,NA,NA,
net7593,100.00%,100.00%,0.00%,NA,NA,NA,
net7591,100.00%,85.31%,0.00%,NA,NA,NA,
net7592,100.00%,100.00%,0.00%,NA,NA,NA,
net7531,100.00%,100.00%,100.00%,99.48%,100.00%,NA,
net7557,93.53%,95.21%,100.00%,NA,NA,NA,
net7555,100.00%,100.00%,100.00%,NA,NA,NA,
net7533,80.00%,84.05%,98.03%,100.00%,NA,NA,
net7556,100.00%,100.00%,100.00%,98.60%,48.65%,100.00%,
net7534,100.00%,100.00%,92.65%,0.00%,NA,NA,
net7552,100.00%,40.72%,49.70%,100.00%,NA,NA,
net7548,100.00%,100.00%,100.00%,93.99%,99.84%,NA,
net7551,100.00%,100.00%,93.71%,NA,NA,NA,
net7550,100.00%,100.00%,100.00%,NA,NA,NA,
net7536,100.00%,100.00%,92.45%,94.13%,98.89%,NA,
net7537,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7541,100.00%,100.00%,100.00%,NA,NA,NA,
net7546,100.00%,100.00%,62.12%,NA,NA,NA,
net7547,100.00%,100.00%,100.00%,NA,NA,NA,
net7538,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,
net7539,100.00%,100.00%,65.39%,100.00%,100.00%,NA,
net7542,100.00%,94.07%,98.86%,100.00%,NA,NA,
net7540,100.00%,100.00%,100.00%,NA,NA,NA,
net7545,100.00%,100.00%,46.42%,NA,NA,NA,
net7543,100.00%,100.00%,100.00%,NA,NA,NA,
net7549,83.33%,99.58%,95.09%,100.00%,100.00%,NA,
net7554,100.00%,100.00%,50.22%,NA,NA,NA,
net7559,100.00%,98.76%,88.80%,99.52%,93.25%,75.00%,
net7581,86.76%,86.87%,62.55%,0.00%,NA,NA,
net7560,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7561,100.00%,100.00%,71.94%,100.00%,NA,NA,
net7563,100.00%,100.00%,100.00%,NA,NA,NA,
net7580,100.00%,100.00%,80.34%,NA,NA,NA,
net7575,100.00%,100.00%,90.72%,NA,NA,NA,
net7567,100.00%,99.50%,100.00%,100.00%,NA,NA,
net7570,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7566,100.00%,98.31%,96.81%,NA,NA,NA,
net7565,33.33%,40.75%,100.00%,NA,NA,NA,
net7577,100.00%,91.57%,63.22%,0.00%,0.00%,NA,
net7569,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7578,100.00%,94.45%,87.02%,0.00%,NA,NA,
net7574,100.00%,100.00%,100.00%,100.00%,99.89%,100.00%,
net7579,100.00%,100.00%,100.00%,100.00%,NA,NA,
net7686,100.00%,95.89%,68.40%,0.00%,0.00%,NA,
net7588,100.00%,94.49%,100.00%,NA,NA,NA,
net7586,100.00%,9.61%,100.00%,NA,NA,NA,
net7585,100.00%,100.00%,96.99%,99.74%,94.74%,99.46%,
net7590,100.00%,100.00%,70.05%,NA,NA,NA,
net7587,100.00%,100.00%,82.06%,100.00%,100.00%,NA,
net7589,100.00%,100.00%,100.00%,NA,NA,NA,
net7685,100.00%,97.62%,65.32%,0.00%,NA,NA,
net7684,98.67%,83.09%,71.02%,0.00%,NA,NA,
net7599,100.00%,100.00%,0.00%,NA,NA,NA,
net7604,100.00%,99.86%,43.15%,0.00%,NA,NA,
net7645,100.00%,100.00%,100.00%,NA,NA,NA,
net7605,100.00%,100.00%,80.95%,NA,NA,NA,
net7637,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7619,100.00%,100.00%,100.00%,97.77%,91.08%,75.00%,
net7620,100.00%,100.00%,93.45%,99.30%,96.38%,NA,
net7638,100.00%,100.00%,94.53%,NA,NA,NA,
net7621,100.00%,98.19%,88.13%,99.36%,100.00%,100.00%,
net7622,100.00%,100.00%,91.08%,100.00%,100.00%,100.00%,
net7623,100.00%,100.00%,71.98%,91.41%,100.00%,NA,
net7624,100.00%,98.45%,84.68%,100.00%,NA,NA,
net7625,100.00%,98.97%,95.82%,97.70%,NA,NA,
net7626,100.00%,92.34%,99.70%,99.10%,100.00%,NA,
net7627,98.24%,99.71%,66.76%,100.00%,NA,NA,
net7628,100.00%,100.00%,90.09%,99.97%,0.00%,NA,
net7629,100.00%,100.00%,93.50%,96.83%,95.33%,100.00%,
net7630,100.00%,100.00%,100.00%,NA,NA,NA,
net7631,100.00%,100.00%,85.05%,0.00%,NA,NA,
net7632,100.00%,92.41%,47.82%,0.00%,NA,NA,
net7634,100.00%,100.00%,71.76%,NA,NA,NA,
net7635,80.00%,100.00%,100.00%,NA,NA,NA,
net7636,100.00%,100.00%,100.00%,NA,NA,NA,
net7641,100.00%,100.00%,0.00%,NA,NA,NA,
net7646,91.67%,97.56%,82.13%,NA,NA,NA,
net7644,100.00%,100.00%,71.84%,100.00%,NA,NA,
net7647,100.00%,100.00%,100.00%,NA,NA,NA,
net7648,100.00%,97.41%,60.97%,0.00%,NA,NA,
net7651,100.00%,100.00%,92.72%,NA,NA,NA,
net7655,100.00%,100.00%,100.00%,NA,NA,NA,
net7656,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7657,100.00%,100.00%,100.00%,NA,NA,NA,
net7658,100.00%,100.00%,100.00%,NA,NA,NA,
net7659,100.00%,100.00%,0.00%,NA,NA,NA,
net7660,100.00%,100.00%,100.00%,NA,NA,NA,
net7682,100.00%,100.00%,84.82%,98.39%,NA,NA,
net7678,100.00%,100.00%,86.41%,NA,NA,NA,
net7680,97.71%,92.97%,92.32%,0.00%,NA,NA,
net7679,100.00%,96.36%,61.92%,0.00%,NA,NA,
net7677,100.00%,91.30%,100.00%,NA,NA,NA,
net7717,100.00%,92.04%,90.52%,100.00%,100.00%,NA,
net7697,94.44%,95.56%,78.93%,0.00%,NA,NA,
net7840,94.49%,99.76%,100.00%,100.00%,NA,NA,
net7716,100.00%,100.00%,95.80%,NA,NA,NA,
net7726,97.46%,84.68%,93.26%,NA,NA,NA,
net7836,98.24%,92.64%,82.31%,100.00%,NA,NA,
net7725,100.00%,100.00%,100.00%,NA,NA,NA,
net7790,93.70%,40.39%,64.61%,91.70%,88.46%,100.00%,
net7839,100.00%,100.00%,100.00%,NA,NA,NA,
net7835,91.67%,98.72%,100.00%,100.00%,100.00%,NA,
net7824,100.00%,84.42%,75.55%,58.94%,NA,NA,
net7826,100.00%,100.00%,99.44%,100.00%,NA,NA,
net7817,100.00%,97.40%,92.11%,99.88%,100.00%,NA,
net7744,100.00%,100.00%,94.25%,NA,NA,NA,
net7728,100.00%,100.00%,78.78%,95.53%,100.00%,NA,
net7825,100.00%,97.09%,95.61%,NA,NA,NA,
net7743,100.00%,100.00%,71.59%,NA,NA,NA,
net7727,100.00%,100.00%,97.20%,100.00%,NA,NA,
net7750,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net7838,100.00%,100.00%,81.38%,59.63%,NA,NA,
