Net,li1,met1,met2,met3,met4,met5,
system_health_score[4],100.00%,100.00%,96.05%,96.13%,100.00%,NA,
system_health_score[5],100.00%,22.07%,98.82%,98.37%,93.36%,100.00%,
system_health_score[6],100.00%,83.72%,98.41%,99.61%,93.23%,100.00%,
system_health_score[7],100.00%,100.00%,88.87%,99.42%,98.15%,100.00%,
torque_cmd[0],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[10],91.18%,98.85%,100.00%,100.00%,NA,NA,
torque_cmd[11],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[1],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[2],100.00%,95.55%,100.00%,100.00%,NA,NA,
torque_cmd[3],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[4],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[5],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[6],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[7],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[8],100.00%,100.00%,100.00%,100.00%,NA,NA,
torque_cmd[9],100.00%,100.00%,100.00%,100.00%,NA,NA,
net8828,100.00%,90.94%,49.73%,70.67%,NA,NA,
warn_latched,100.00%,100.00%,97.40%,93.19%,NA,NA,
_00000_,100.00%,100.00%,100.00%,NA,NA,NA,
_00001_,80.00%,96.54%,100.00%,NA,NA,NA,
_00002_,100.00%,100.00%,0.00%,NA,NA,NA,
_00003_,50.00%,100.00%,NA,NA,NA,NA,
_00004_,100.00%,100.00%,100.00%,NA,NA,NA,
_00005_,100.00%,100.00%,100.00%,NA,NA,NA,
_00006_,100.00%,100.00%,100.00%,NA,NA,NA,
_00007_,100.00%,100.00%,100.00%,NA,NA,NA,
_00008_,100.00%,100.00%,100.00%,NA,NA,NA,
_00009_,100.00%,100.00%,NA,NA,NA,NA,
_00010_,100.00%,100.00%,0.00%,NA,NA,NA,
_00011_,100.00%,100.00%,100.00%,NA,NA,NA,
_00012_,100.00%,100.00%,0.00%,NA,NA,NA,
_00013_,50.00%,100.00%,NA,NA,NA,NA,
_00014_,100.00%,100.00%,0.00%,NA,NA,NA,
_00015_,100.00%,100.00%,NA,NA,NA,NA,
_00016_,100.00%,100.00%,NA,NA,NA,NA,
_00017_,50.00%,67.35%,0.00%,NA,NA,NA,
_00018_,100.00%,100.00%,NA,NA,NA,NA,
_00019_,100.00%,100.00%,0.00%,NA,NA,NA,
_00020_,100.00%,100.00%,100.00%,NA,NA,NA,
_00021_,100.00%,100.00%,100.00%,NA,NA,NA,
_00022_,100.00%,100.00%,100.00%,NA,NA,NA,
_00023_,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
_00024_,100.00%,100.00%,100.00%,100.00%,NA,NA,
_00025_,100.00%,100.00%,100.00%,NA,NA,NA,
_00026_,100.00%,100.00%,54.85%,0.00%,NA,NA,
_00027_,100.00%,69.73%,74.48%,NA,NA,NA,
_00028_,100.00%,100.00%,100.00%,NA,NA,NA,
_00029_,100.00%,16.92%,41.29%,NA,NA,NA,
_00030_,100.00%,99.95%,99.79%,99.02%,82.00%,99.74%,
_00031_,100.00%,100.00%,100.00%,NA,NA,NA,
_00032_,100.00%,100.00%,100.00%,NA,NA,NA,
_00033_,100.00%,100.00%,0.00%,NA,NA,NA,
_00034_,100.00%,100.00%,0.00%,NA,NA,NA,
_00035_,100.00%,100.00%,100.00%,NA,NA,NA,
_00036_,100.00%,100.00%,100.00%,NA,NA,NA,
_00037_,100.00%,100.00%,100.00%,NA,NA,NA,
_00038_,100.00%,100.00%,100.00%,NA,NA,NA,
_00039_,100.00%,100.00%,0.00%,NA,NA,NA,
_00296_,100.00%,100.00%,100.00%,NA,NA,NA,
_00297_,100.00%,33.32%,0.00%,NA,NA,NA,
_00298_,100.00%,100.00%,100.00%,NA,NA,NA,
_00299_,100.00%,100.00%,0.00%,NA,NA,NA,
_00300_,100.00%,100.00%,0.00%,NA,NA,NA,
_00301_,100.00%,100.00%,0.00%,NA,NA,NA,
_00302_,100.00%,100.00%,100.00%,NA,NA,NA,
_00303_,100.00%,92.31%,0.00%,NA,NA,NA,
_00304_,100.00%,100.00%,NA,NA,NA,NA,
_00305_,100.00%,98.87%,100.00%,NA,NA,NA,
_00045_,100.00%,100.00%,100.00%,NA,NA,NA,
_00046_,50.00%,16.65%,0.00%,NA,NA,NA,
_00047_,100.00%,100.00%,0.00%,NA,NA,NA,
_00048_,100.00%,100.00%,100.00%,NA,NA,NA,
_00049_,100.00%,100.00%,100.00%,NA,NA,NA,
_00050_,100.00%,100.00%,100.00%,NA,NA,NA,
_00051_,100.00%,100.00%,0.00%,NA,NA,NA,
_00052_,100.00%,100.00%,NA,NA,NA,NA,
_00053_,100.00%,100.00%,0.00%,NA,NA,NA,
_00054_,100.00%,100.00%,100.00%,NA,NA,NA,
_00055_,100.00%,100.00%,100.00%,NA,NA,NA,
_00056_,50.00%,38.62%,100.00%,NA,NA,NA,
_00057_,100.00%,100.00%,0.00%,NA,NA,NA,
_00058_,100.00%,100.00%,NA,NA,NA,NA,
_00059_,100.00%,100.00%,0.00%,NA,NA,NA,
_00060_,100.00%,100.00%,100.00%,NA,NA,NA,
_00061_,100.00%,100.00%,0.00%,NA,NA,NA,
_00062_,100.00%,100.00%,0.00%,NA,NA,NA,
_00063_,100.00%,100.00%,100.00%,NA,NA,NA,
_00064_,100.00%,100.00%,100.00%,NA,NA,NA,
_00065_,100.00%,100.00%,0.00%,NA,NA,NA,
_00066_,100.00%,100.00%,0.00%,NA,NA,NA,
_00067_,100.00%,100.00%,100.00%,NA,NA,NA,
_00068_,100.00%,100.00%,0.00%,NA,NA,NA,
_00069_,100.00%,100.00%,100.00%,NA,NA,NA,
_00070_,100.00%,100.00%,0.00%,NA,NA,NA,
_00071_,100.00%,100.00%,100.00%,NA,NA,NA,
_00072_,100.00%,100.00%,0.00%,NA,NA,NA,
_00073_,100.00%,100.00%,0.00%,NA,NA,NA,
_00074_,100.00%,100.00%,100.00%,NA,NA,NA,
_00075_,100.00%,100.00%,0.00%,NA,NA,NA,
_00076_,100.00%,100.00%,0.00%,NA,NA,NA,
_00077_,100.00%,100.00%,100.00%,NA,NA,NA,
_00078_,100.00%,100.00%,NA,NA,NA,NA,
_00079_,100.00%,100.00%,100.00%,NA,NA,NA,
_00080_,100.00%,100.00%,91.83%,NA,NA,NA,
_00081_,100.00%,100.00%,100.00%,NA,NA,NA,
_00082_,100.00%,100.00%,100.00%,NA,NA,NA,
_00083_,100.00%,100.00%,100.00%,NA,NA,NA,
_00084_,100.00%,100.00%,100.00%,NA,NA,NA,
_00085_,100.00%,100.00%,NA,NA,NA,NA,
_00086_,100.00%,100.00%,100.00%,NA,NA,NA,
_00087_,100.00%,100.00%,0.00%,NA,NA,NA,
_00088_,100.00%,100.00%,100.00%,NA,NA,NA,
_00089_,100.00%,100.00%,0.00%,NA,NA,NA,
_00090_,100.00%,100.00%,100.00%,NA,NA,NA,
_00091_,100.00%,100.00%,0.00%,NA,NA,NA,
_00092_,100.00%,100.00%,0.00%,NA,NA,NA,
_00093_,100.00%,100.00%,100.00%,NA,NA,NA,
_00094_,100.00%,100.00%,0.00%,NA,NA,NA,
_00095_,100.00%,100.00%,0.00%,NA,NA,NA,
_00096_,100.00%,100.00%,100.00%,0.00%,NA,NA,
_00097_,100.00%,100.00%,0.00%,NA,NA,NA,
_00098_,100.00%,100.00%,NA,NA,NA,NA,
_00099_,100.00%,100.00%,100.00%,NA,NA,NA,
_00100_,100.00%,100.00%,0.00%,NA,NA,NA,
_00101_,100.00%,100.00%,NA,NA,NA,NA,
_00102_,100.00%,100.00%,0.00%,NA,NA,NA,
_00103_,100.00%,100.00%,100.00%,NA,NA,NA,
_00104_,100.00%,100.00%,0.00%,NA,NA,NA,
_00105_,50.00%,100.00%,100.00%,NA,NA,NA,
_00106_,89.71%,98.63%,100.00%,NA,NA,NA,
_00107_,100.00%,100.00%,0.00%,NA,NA,NA,
_00108_,100.00%,100.00%,100.00%,NA,NA,NA,
_00109_,100.00%,100.00%,0.00%,NA,NA,NA,
_00110_,50.00%,67.35%,0.00%,NA,NA,NA,
_00111_,100.00%,100.00%,0.00%,NA,NA,NA,
_00112_,100.00%,100.00%,100.00%,NA,NA,NA,
_00113_,100.00%,100.00%,100.00%,NA,NA,NA,
_00114_,100.00%,100.00%,100.00%,NA,NA,NA,
_00115_,100.00%,100.00%,100.00%,NA,NA,NA,
_00116_,100.00%,100.00%,100.00%,NA,NA,NA,
_00117_,100.00%,100.00%,100.00%,NA,NA,NA,
_00118_,100.00%,100.00%,0.00%,NA,NA,NA,
_00119_,100.00%,100.00%,100.00%,NA,NA,NA,
_00120_,100.00%,100.00%,0.00%,NA,NA,NA,
_00121_,100.00%,100.00%,100.00%,NA,NA,NA,
_00122_,100.00%,100.00%,100.00%,NA,NA,NA,
_00123_,100.00%,100.00%,100.00%,NA,NA,NA,
